State Code, District Code, District, Population
19,344,Paschim Medinipur,5913457
19,345,Purba Medinipur,5095875
20,346,Garhwa ,1322784
20,347,Chatra,1042886
20,348,Kodarma,716259
20,349,Giridih,2445474
20,350,Deoghar,1492073
20,351,Godda,1313551
20,352,Sahibganj,1150567
20,353,Pakur,900422
20,354,Dhanbad,2684487
20,355,Bokaro,2062330
20,356,Lohardaga,461790
20,357,Purbi Singhbhum,2293919
20,358,Palamu,1939869
20,359,Latehar,726978
20,360,Hazaribagh,1734495
20,361,Ramgarh,949443
20,362,Dumka,1321442
20,363,Jamtara,791042
20,364,Ranchi,2914253
20,365,Khunti,531885
20,366,Gumla,1025213
20,367,Simdega,599578
20,368,Pashchimi Singhbhum,1502338
20,369,Saraikela-Kharsawan,1065056
21,370,Bargarh,1481255
21,371,Jharsuguda,579505
21,372,Sambalpur,1041099
21,373,Debagarh,312520
21,374,Sundargarh,2093437
21,375,Kendujhar,1801733
21,376,Mayurbhanj,2519738
21,377,Baleshwar,2320529
21,378,Bhadrak,1506337
21,379,Kendrapara ,1440361
21,380,Jagatsinghapur ,1136971
21,381,Cuttack,2624470
21,382,Jajapur  ,1827192
21,383,Dhenkanal,1192811
21,384,Anugul  ,1273821
21,385,Nayagarh  ,962789
21,386,Khordha ,2251673
21,387,Puri,1698730
21,388,Ganjam,3529031
21,389,Gajapati,577817
21,390,Kandhamal,733110
21,391,Baudh,441162
21,392,Subarnapur,610183
21,393,Balangir,1648997
21,394,Nuapada,610382
21,395,Kalahandi,1576869
21,396,Rayagada  ,967911
21,397,Nabarangapur ,1220946
21,398,Koraput,1379647
21,399,Malkangiri  ,613192
22,400,Koriya,658917
22,401,Surguja,2359886
22,402,Jashpur ,851669
22,403,Raigarh,1493984
22,404,Korba ,1206640
22,405,Janjgir - Champa,1619707
22,406,Bilaspur,2663629
22,407,Kabeerdham,822526
22,408,Rajnandgaon,1537133
22,409,Durg,3343872
22,410,Raipur,4063872
22,411,Mahasamund,1032754
22,412,Dhamtari ,799781
22,413,Uttar Bastar Kanker,748941
22,414,Bastar,1413199
22,415,Narayanpur,139820
22,416,Dakshin Bastar Dantewada,533638
22,417,Bijapur,255230
23,418,Sheopur ,687861
23,419,Morena,1965970
23,420,Bhind,1703005
23,421,Gwalior,2032036
23,422,Datia,786754
