State,District,Level,Name,TOT_P
10,206,DISTRICT,Sitamarhi,3423574
10,207,DISTRICT,Madhubani,4487379
10,208,DISTRICT,Supaul,2229076
10,209,DISTRICT,Araria,2811569
10,210,DISTRICT,Kishanganj,1690400
10,211,DISTRICT,Purnia,3264619
10,212,DISTRICT,Katihar,3071029
10,213,DISTRICT,Madhepura,2001762
10,214,DISTRICT,Saharsa,1900661
10,215,DISTRICT,Darbhanga,3937385
10,216,DISTRICT,Muzaffarpur,4801062
10,217,DISTRICT,Gopalganj,2562012
10,218,DISTRICT,Siwan,3330464
10,219,DISTRICT,Saran,3951862
10,220,DISTRICT,Vaishali,3495021
10,221,DISTRICT,Samastipur,4261566
10,222,DISTRICT,Begusarai,2970541
10,223,DISTRICT,Khagaria,1666886
10,224,DISTRICT,Bhagalpur,3037766
10,225,DISTRICT,Banka,2034763
10,226,DISTRICT,Munger,1367765
10,227,DISTRICT,Lakhisarai,1000912
10,228,DISTRICT,Sheikhpura,636342
10,229,DISTRICT,Nalanda,2877653
10,230,DISTRICT,Patna,5838465
10,231,DISTRICT,Bhojpur,2728407
10,232,DISTRICT,Buxar,1706352
10,233,DISTRICT,Kaimur (Bhabua),1626384
10,234,DISTRICT,Rohtas,2959918
10,235,DISTRICT,Aurangabad,2540073
10,236,DISTRICT,Gaya,4391418
10,237,DISTRICT,Nawada,2219146
10,238,DISTRICT,Jamui,1760405
10,239,DISTRICT,Jehanabad ,1125313
10,240,DISTRICT,Arwal,700843
11,000,STATE,SIKKIM,610577
11,241,DISTRICT,North  District,43709
11,242,DISTRICT,West District,136435
11,243,DISTRICT,South District,146850
11,244,DISTRICT,East District,283583
12,000,STATE,ARUNACHAL PRADESH,1383727
12,245,DISTRICT,Tawang,49977
12,246,DISTRICT,West Kameng,83947
12,247,DISTRICT,East Kameng,78690
12,248,DISTRICT,Papum Pare,176573
12,249,DISTRICT,Upper Subansiri,83448
12,250,DISTRICT,West Siang,112274
12,251,DISTRICT,East Siang,99214
12,252,DISTRICT,Upper Siang,35320
12,253,DISTRICT,Changlang,148226
12,254,DISTRICT,Tirap,111975
12,255,DISTRICT,Lower Subansiri,83030
12,256,DISTRICT,Kurung Kumey,92076
12,257,DISTRICT,Dibang Valley,8004
12,258,DISTRICT,Lower Dibang Valley,54080
12,259,DISTRICT,Lohit,145726
12,260,DISTRICT,Anjaw,21167
13,000,STATE,NAGALAND,1978502
13,261,DISTRICT,Mon,250260
13,262,DISTRICT,Mokokchung,194622
13,263,DISTRICT,Zunheboto,140757
13,264,DISTRICT,Wokha,166343
13,265,DISTRICT,Dimapur ,378811
13,266,DISTRICT,Phek,163418
13,267,DISTRICT,Tuensang,196596
13,268,DISTRICT,Longleng,50484
13,269,DISTRICT,Kiphire,74004
13,270,DISTRICT,Kohima,267988
13,271,DISTRICT,Peren,95219
14,000,STATE,MANIPUR,2855794
14,272,DISTRICT,Senapati,479148
14,273,DISTRICT,Tamenglong ,140651
14,274,DISTRICT,Churachandpur,274143
14,275,DISTRICT,Bishnupur,237399
14,276,DISTRICT,Thoubal,422168
14,277,DISTRICT,Imphal West,517992
14,278,DISTRICT,Imphal East,456113
14,279,DISTRICT,Ukhrul,183998
14,280,DISTRICT,Chandel,144182
15,000,STATE,MIZORAM,1097206
15,281,DISTRICT,Mamit,86364
15,282,DISTRICT,Kolasib,83955
15,283,DISTRICT,Aizawl,400309
15,284,DISTRICT,Champhai,125745
15,285,DISTRICT,Serchhip,64937
15,286,DISTRICT,Lunglei,161428
15,287,DISTRICT,Lawngtlai,117894
15,288,DISTRICT,Saiha,56574
16,000,STATE,TRIPURA,3673917
16,289,DISTRICT,West Tripura ,1725739
16,290,DISTRICT,South Tripura ,876001
16,291,DISTRICT,Dhalai,378230
16,292,DISTRICT,North Tripura,693947
17,000,STATE,MEGHALAYA,2966889
17,293,DISTRICT,West Garo Hills,643291
17,294,DISTRICT,East Garo Hills,317917
17,295,DISTRICT,South Garo Hills,142334
17,296,DISTRICT,West Khasi Hills,383461
17,297,DISTRICT,Ribhoi,258840
17,298,DISTRICT,East Khasi Hills,825922
17,299,DISTRICT,Jaintia Hills,395124
18,000,STATE,ASSAM,31205576
18,300,DISTRICT,Kokrajhar,887142
18,301,DISTRICT,Dhubri,1949258
18,302,DISTRICT,Goalpara,1008183
18,303,DISTRICT,Barpeta,1693622
18,304,DISTRICT,Morigaon,957423
18,305,DISTRICT,Nagaon,2823768
18,306,DISTRICT,Sonitpur,1924110
18,307,DISTRICT,Lakhimpur,1042137
18,308,DISTRICT,Dhemaji,686133
18,309,DISTRICT,Tinsukia,1327929
18,310,DISTRICT,Dibrugarh,1326335
18,311,DISTRICT,Sivasagar,1151050
18,312,DISTRICT,Jorhat,1092256
18,313,DISTRICT,Golaghat,1066888
18,314,DISTRICT,Karbi Anglong,956313
18,315,DISTRICT,Dima Hasao,214102
18,316,DISTRICT,Cachar,1736617
18,317,DISTRICT,Karimganj,1228686
18,318,DISTRICT,Hailakandi,659296
18,319,DISTRICT,Bongaigaon,738804
18,320,DISTRICT,Chirang,482162
18,321,DISTRICT,Kamrup,1517542
18,322,DISTRICT,Kamrup Metropolitan,1253938
18,323,DISTRICT,Nalbari,771639
18,324,DISTRICT,Baksa,950075
18,325,DISTRICT,Darrang,928500
18,326,DISTRICT,Udalguri,831668
19,000,STATE,WEST BENGAL,91276115
19,327,DISTRICT,Darjiling ,1846823
19,328,DISTRICT,Jalpaiguri ,3872846
19,329,DISTRICT,Koch Bihar ,2819086
19,330,DISTRICT,Uttar Dinajpur,3007134
19,331,DISTRICT,Dakshin Dinajpur,1676276
19,332,DISTRICT,Maldah ,3988845
19,333,DISTRICT,Murshidabad ,7103807
19,334,DISTRICT,Birbhum,3502404
19,335,DISTRICT,Barddhaman ,7717563
19,336,DISTRICT,Nadia ,5167600
19,337,DISTRICT,North Twenty Four Parganas,10009781
19,338,DISTRICT,Hugli ,5519145
19,339,DISTRICT,Bankura ,3596674
19,340,DISTRICT,Puruliya,2930115
19,341,DISTRICT,Haora ,4850029
19,342,DISTRICT,Kolkata,4496694
19,343,DISTRICT,South Twenty Four Parganas,8161961
19,344,DISTRICT,Paschim Medinipur,5913457
19,345,DISTRICT,Purba Medinipur,5095875
20,000,STATE,JHARKHAND,32988134
20,346,DISTRICT,Garhwa ,1322784
20,347,DISTRICT,Chatra,1042886
20,348,DISTRICT,Kodarma,716259
20,349,DISTRICT,Giridih,2445474
20,350,DISTRICT,Deoghar,1492073
20,351,DISTRICT,Godda,1313551
20,352,DISTRICT,Sahibganj,1150567
20,353,DISTRICT,Pakur,900422
20,354,DISTRICT,Dhanbad,2684487
20,355,DISTRICT,Bokaro,2062330
20,356,DISTRICT,Lohardaga,461790
20,357,DISTRICT,Purbi Singhbhum,2293919
20,358,DISTRICT,Palamu,1939869
20,359,DISTRICT,Latehar,726978
20,360,DISTRICT,Hazaribagh,1734495
20,361,DISTRICT,Ramgarh,949443
20,362,DISTRICT,Dumka,1321442
20,363,DISTRICT,Jamtara,791042
20,364,DISTRICT,Ranchi,2914253
20,365,DISTRICT,Khunti,531885
20,366,DISTRICT,Gumla,1025213
20,367,DISTRICT,Simdega,599578
20,368,DISTRICT,Pashchimi Singhbhum,1502338
20,369,DISTRICT,Saraikela-Kharsawan,1065056
21,000,STATE,ODISHA,41974218
21,370,DISTRICT,Bargarh,1481255
21,371,DISTRICT,Jharsuguda,579505
21,372,DISTRICT,Sambalpur,1041099
21,373,DISTRICT,Debagarh,312520
21,374,DISTRICT,Sundargarh,2093437
21,375,DISTRICT,Kendujhar,1801733
21,376,DISTRICT,Mayurbhanj,2519738
21,377,DISTRICT,Baleshwar,2320529
21,378,DISTRICT,Bhadrak,1506337
21,379,DISTRICT,Kendrapara ,1440361
21,380,DISTRICT,Jagatsinghapur ,1136971
21,381,DISTRICT,Cuttack,2624470
21,382,DISTRICT,Jajapur  ,1827192
21,383,DISTRICT,Dhenkanal,1192811
21,384,DISTRICT,Anugul  ,1273821
21,385,DISTRICT,Nayagarh  ,962789
21,386,DISTRICT,Khordha ,2251673
21,387,DISTRICT,Puri,1698730
21,388,DISTRICT,Ganjam,3529031
21,389,DISTRICT,Gajapati,577817
21,390,DISTRICT,Kandhamal,733110
21,391,DISTRICT,Baudh,441162
21,392,DISTRICT,Subarnapur,610183
21,393,DISTRICT,Balangir,1648997
21,394,DISTRICT,Nuapada,610382
21,395,DISTRICT,Kalahandi,1576869
21,396,DISTRICT,Rayagada  ,967911
21,397,DISTRICT,Nabarangapur ,1220946
21,398,DISTRICT,Koraput,1379647
21,399,DISTRICT,Malkangiri  ,613192
22,000,STATE,CHHATTISGARH,25545198
22,400,DISTRICT,Koriya,658917
22,401,DISTRICT,Surguja,2359886
22,402,DISTRICT,Jashpur ,851669
22,403,DISTRICT,Raigarh,1493984
22,404,DISTRICT,Korba ,1206640
22,405,DISTRICT,Janjgir - Champa,1619707
22,406,DISTRICT,Bilaspur,2663629
22,407,DISTRICT,Kabeerdham,822526
22,408,DISTRICT,Rajnandgaon,1537133
22,409,DISTRICT,Durg,3343872
22,410,DISTRICT,Raipur,4063872
22,411,DISTRICT,Mahasamund,1032754
22,412,DISTRICT,Dhamtari ,799781
22,413,DISTRICT,Uttar Bastar Kanker,748941
22,414,DISTRICT,Bastar,1413199
22,415,DISTRICT,Narayanpur,139820
22,416,DISTRICT,Dakshin Bastar Dantewada,533638
22,417,DISTRICT,Bijapur,255230
23,000,STATE,MADHYA PRADESH,72626809
23,418,DISTRICT,Sheopur ,687861
23,419,DISTRICT,Morena,1965970
23,420,DISTRICT,Bhind,1703005
23,421,DISTRICT,Gwalior,2032036
23,422,DISTRICT,Datia,786754
23,423,DISTRICT,Shivpuri,1726050
23,424,DISTRICT,Tikamgarh,1445166
23,425,DISTRICT,Chhatarpur,1762375
23,426,DISTRICT,Panna,1016520
23,427,DISTRICT,Sagar,2378458
23,428,DISTRICT,Damoh,1264219
23,429,DISTRICT,Satna,2228935
23,430,DISTRICT,Rewa,2365106
23,431,DISTRICT,Umaria,644758
23,432,DISTRICT,Neemuch ,826067
23,433,DISTRICT,Mandsaur,1340411
23,434,DISTRICT,Ratlam,1455069
23,435,DISTRICT,Ujjain,1986864
23,436,DISTRICT,Shajapur,1512681
23,437,DISTRICT,Dewas,1563715
23,438,DISTRICT,Dhar,2185793
23,439,DISTRICT,Indore,3276697
23,440,DISTRICT,Khargone (West Nimar),1873046
23,441,DISTRICT,Barwani ,1385881
23,442,DISTRICT,Rajgarh,1545814
23,443,DISTRICT,Vidisha,1458875
23,444,DISTRICT,Bhopal,2371061
23,445,DISTRICT,Sehore,1311332
23,446,DISTRICT,Raisen,1331597
23,447,DISTRICT,Betul,1575362
23,448,DISTRICT,Harda ,570465
23,449,DISTRICT,Hoshangabad,1241350
23,450,DISTRICT,Katni ,1292042
23,451,DISTRICT,Jabalpur,2463289
23,452,DISTRICT,Narsimhapur,1091854
23,453,DISTRICT,Dindori ,704524
23,454,DISTRICT,Mandla,1054905
23,455,DISTRICT,Chhindwara,2090922
23,456,DISTRICT,Seoni,1379131
23,457,DISTRICT,Balaghat,1701698
23,458,DISTRICT,Guna,1241519
23,459,DISTRICT,Ashoknagar,845071
23,460,DISTRICT,Shahdol,1066063
23,461,DISTRICT,Anuppur,749237
23,462,DISTRICT,Sidhi,1127033
23,463,DISTRICT,Singrauli,1178273
