State,District,City,Population
Bihar,Rohtas,Dehri (Nagar Parishad),137231
Bihar,Aurangabad,Aurangabad (Nagar Parishad),102244
Bihar,Gaya,Gaya,474093
Bihar,Jehanabad,Jehanabad (Nagar Parishad),103202
Sikkim,East District,Gangtok,100286
Nagaland,Dimapur,Dimapur,122834
Manipur,Imphal West,Imphal,193459
Mizoram,Aizawl,Aizawl,293416
Tripura,West Tripura,Agartala,400004
Meghalaya,East Khasi Hills,Shillong,143229
Assam,Nagaon,Nagaon,121628
Assam,Tinsukia,Tinsukia,116322
Assam,Dibrugarh,Dibrugarh,144063
Assam,Cachar,Silchar,178865
Assam,Kamrup Metropolitan,Guwahati,963429
West Bengal,Darjiling,Darjiling,118805
West Bengal,Darjiling,Siliguri,509709
West Bengal,Jalpaiguri,Dabgram,119040
West Bengal,Jalpaiguri,Jalpaiguri,107341
West Bengal,Uttar Dinajpur,Raiganj,183612
West Bengal,Dakshin Dinajpur,Balurghat,153279
West Bengal,Murshidabad,Berhampore,195223
West Bengal,Barddhaman,Kulti,313809
West Bengal,Barddhaman,Asansol,563917
West Bengal,Barddhaman,Jamuria,149220
West Bengal,Barddhaman,Raniganj,129441
West Bengal,Barddhaman,Durgapur,566517
West Bengal,Barddhaman,Barddhaman,314265
West Bengal,Nadia,Nabadwip,125543
West Bengal,Nadia,Krishnanagar,153062
West Bengal,Nadia,Santipur,151777
West Bengal,Nadia,Kalyani,100575
West Bengal,North Twenty Four Parganas,Bongaon,108864
West Bengal,North Twenty Four Parganas,Halisahar,124939
West Bengal,North Twenty Four Parganas,Kanchrapara,129576
West Bengal,North Twenty Four Parganas,Naihati,217900
West Bengal,North Twenty Four Parganas,Bhatpara,386019
West Bengal,North Twenty Four Parganas,Habra,147221
West Bengal,North Twenty Four Parganas,Ashokenagar Kalyangarh,121592
West Bengal,North Twenty Four Parganas,North Barrackpore,132806
West Bengal,North Twenty Four Parganas,Barrackpore,152783
West Bengal,North Twenty Four Parganas,Titagarh,116541
West Bengal,North Twenty Four Parganas,Khardah,108496
West Bengal,North Twenty Four Parganas,Panihati,377347
West Bengal,North Twenty Four Parganas,Barasat,278435
West Bengal,North Twenty Four Parganas,Madhyamgram,196127
West Bengal,North Twenty Four Parganas,North DumDum,249142
West Bengal,North Twenty Four Parganas,Kamarhati,330211
West Bengal,North Twenty Four Parganas,Baranagar,245213
West Bengal,North Twenty Four Parganas,Dum Dum,114786
West Bengal,North Twenty Four Parganas,South DumDum,403316
West Bengal,North Twenty Four Parganas,Rajarhat Gopalpur,402844
West Bengal,North Twenty Four Parganas,Bidhannagar,215514
West Bengal,North Twenty Four Parganas,Basirhat,125254
West Bengal,Hugli,Bansberia,103920
West Bengal,Hugli,Hugli-Chinsurah,179931
West Bengal,Hugli,Chandannagar,166867
West Bengal,Hugli,Bhadreswar,101477
West Bengal,Hugli,Champdani,111251
West Bengal,Hugli,Baidyabati,121110
West Bengal,Hugli,Serampore,181842
West Bengal,Hugli,Rishra,124577
West Bengal,Hugli,Uttarpara Kotrung,159147
West Bengal,Bankura,Bankura,137386
West Bengal,Puruliya,Puruliya,121067
West Bengal,Haora,Bally,113377
West Bengal,Haora,Bally,293373
West Bengal,Haora,Haora,1077075
West Bengal,Haora,Uluberia,235345
West Bengal,Kolkata,Kolkata,4496694
West Bengal,South Twenty Four Parganas,Maheshtala,448317
West Bengal,South Twenty Four Parganas,Rajpur Sonarpur,424368
West Bengal,Paschim Medinipur,Medinipur,169264
West Bengal,Paschim Medinipur,Kharagpur,207604
West Bengal,Purba Medinipur,Haldia,200827
Jharkhand,Giridih,Giridih,114533
Jharkhand,Deoghar,Deoghar,203123
Jharkhand,Dhanbad,Dhanbad,1162472
Jharkhand,Bokaro,Chas (Nagar Parishad),141640
Jharkhand,Bokaro,Bokaro Steel City,414820
Jharkhand,Purbi Singhbhum,Mango,223805
Jharkhand,Purbi Singhbhum,Jamshedpur,677350
Jharkhand,Hazaribagh,Hazaribag (Nagar Parishad),142489
Jharkhand,Ranchi,Ranchi,1073427
Jharkhand,Saraikela-Kharsawan,Adityapur (Nagar Parishad),174355
Odisha,Sambalpur,Sambalpur,189366
Odisha,Sundargarh,Raurkela,320040
Odisha,Mayurbhanj,Baripada,116849
Odisha,Baleshwar,Baleshwar,144373
Odisha,Bhadrak,Bhadrak,121338
Odisha,Cuttack,Cuttack,610189
Odisha,Khordha,Bhubaneswar,885363
Odisha,Puri,Puri,200564
Odisha,Ganjam,Brahmapur,356598
Chhattisgarh,Surguja,Ambikapur,121071
Chhattisgarh,Raigarh,Raigarh,150019
Chhattisgarh,Korba,Korba,363210
Chhattisgarh,Bilaspur,Bilaspur,349107
Chhattisgarh,Rajnandgaon,Rajnandgaon,163114
Chhattisgarh,Durg,Bhilai Nagar,618611
Chhattisgarh,Durg,Durg,268806
Chhattisgarh,Raipur,Raipur,1027264
Chhattisgarh,Dhamtari,Dhamtari,101677
Chhattisgarh,Bastar,Jagdalpur,125463
Madhya Pradesh,Morena,Morena,200482
Madhya Pradesh,Bhind,Bhind,197585
Madhya Pradesh,Gwalior,Gwalior,1054420
Madhya Pradesh,Datia,Datia,100284
Madhya Pradesh,Shivpuri,Shivpuri,179977
Madhya Pradesh,Chhatarpur,Chhatarpur,142128
Madhya Pradesh,Sagar,Sagar,274556
Madhya Pradesh,Damoh,Damoh,139561
Madhya Pradesh,Satna,Satna,282977
Madhya Pradesh,Rewa,Rewa,235654
Madhya Pradesh,Neemuch,Neemuch,128561
Madhya Pradesh,Mandsaur,Mandsaur,141667
Madhya Pradesh,Ratlam,Ratlam,264914
Madhya Pradesh,Ujjain,Nagda,100039
Madhya Pradesh,Ujjain,Ujjain,515215
Madhya Pradesh,Dewas,Dewas,289550
Madhya Pradesh,Dhar,Pithampur,126200
Madhya Pradesh,Indore,Indore,1992422
Madhya Pradesh,Khargone (West Nimar),Khargone,116150
Madhya Pradesh,Vidisha,Vidisha,155951
Madhya Pradesh,Bhopal,Bhopal,1798218
Madhya Pradesh,Sehore,Sehore,109118
Madhya Pradesh,Betul,Betul,103330
Madhya Pradesh,Hoshangabad,Hoshangabad,117988
Madhya Pradesh,Katni,Murwara (Katni),221883
Madhya Pradesh,Jabalpur,Jabalpur,1069292
Madhya Pradesh,Chhindwara,Chhindwara,175052
Madhya Pradesh,Seoni,Seoni,102343
Madhya Pradesh,Guna,Guna,180935
Madhya Pradesh,Singrauli,Singrauli,220257
Madhya Pradesh,Khandwa (East Nimar),Khandwa,200738
Madhya Pradesh,Burhanpur,Burhanpur,210886
Gujarat,Kachchh,Bhuj,148834
Gujarat,Kachchh,Gandhidham,247992
Gujarat,Banas Kantha,Palanpur,141592
Gujarat,Banas Kantha,Deesa,111160
Gujarat,Patan ,Patan,133737
Gujarat,Mahesana,Mahesana,190753
Gujarat,Gandhinagar,Kalol,134426
Gujarat,Gandhinagar,Gandhinagar,292797
Gujarat,Ahmadabad,Ahmadabad,5577940
Gujarat,Surendranagar,Surendranagar Dudhrej,177851
Gujarat,Rajkot,Morvi,210451
Gujarat,Rajkot,Rajkot,1323363
Gujarat,Rajkot,Gondal,112197
Gujarat,Rajkot,Jetpur Navagadh,118302
Gujarat,Jamnagar,Jamnagar,600943
Gujarat,Porbandar,Porbandar,152760
Gujarat,Junagadh,Junagadh,319462
Gujarat,Junagadh,Veraval,171121
Gujarat,Amreli,Amreli,117967
Gujarat,Bhavnagar,Botad,130327
Gujarat,Bhavnagar,Bhavnagar,605882
Gujarat,Anand ,Anand,209410
Gujarat,Kheda,Nadiad,225071
Gujarat,Panch Mahals,Godhra,143644
Gujarat,Dohad ,Dohad,118846
Gujarat,Vadodara,Vadodara,1752371
Gujarat,Bharuch,Bharuch,169007
Gujarat,Navsari ,Navsari,171109
Gujarat,Valsad,Valsad,139764
Gujarat,Valsad,Vapi,163630
Gujarat,Surat,Surat,4467797
Maharashtra,Nandurbar,Nandurbar,111037
Maharashtra,Dhule,Dhule,375559
Maharashtra,Jalgaon,Bhusawal,187421
Maharashtra,Jalgaon,Jalgaon,460228
Maharashtra,Akola,Akola,425817
Maharashtra,Amravati,Achalpur,112311
Maharashtra,Amravati,Amravati,647057
Maharashtra,Wardha,Wardha,106444
Maharashtra,Wardha,Hinganghat,101805
Maharashtra,Nagpur,Nagpur,2405665
Maharashtra,Gondiya,Gondiya,132813
Maharashtra,Chandrapur,Chandrapur,320379
Maharashtra,Yavatmal,Yavatmal,116551
Maharashtra,Nanded,Nanded Waghala,550439
Maharashtra,Parbhani,Parbhani,307170
Maharashtra,Jalna,Jalna,285577
Maharashtra,Aurangabad,Aurangabad,1175116
Maharashtra,Nashik,Malegaon,481228
Maharashtra,Nashik,Nashik,1486053
Maharashtra,Thane,Vasai-Virar City,1222390
Maharashtra,Thane,Mira-Bhayandar,809378
Maharashtra,Thane,Thane,1841488
Maharashtra,Thane,Navi Mumbai,1120547
Maharashtra,Thane,Bhiwandi Nizampur,709665
