State,District,City,Population,Area (in km^2),Latitude,Longitude
West Bengal,Nadia,Santipur,151777,177,23.26,88.44
West Bengal,Nadia,Kalyani,100575,0,22.98,88.43
West Bengal,North Twenty Four Parganas,Bongaon,108864,344,23.07,88.82
West Bengal,North Twenty Four Parganas,Halisahar,124939,8.29,22.93,88.42
West Bengal,North Twenty Four Parganas,Kanchrapara,129576,9.06,22.95,88.42
West Bengal,North Twenty Four Parganas,Naihati,217900,11.55,22.88,88.42
West Bengal,North Twenty Four Parganas,Bhatpara,386019,34.69,22.87,88.42
West Bengal,North Twenty Four Parganas,Habra,147221,21.8,22.85,88.66
West Bengal,North Twenty Four Parganas,Ashokenagar Kalyangarh,121592,20,22.83,88.63
West Bengal,North Twenty Four Parganas,North Barrackpore,132806,11,22.76,88.37
West Bengal,North Twenty Four Parganas,Barrackpore,152783,10.61,22.77,88.39
West Bengal,North Twenty Four Parganas,Titagarh,116541,3.24,22.73,88.37
West Bengal,North Twenty Four Parganas,Khardah,108496,0,22.72,88.38
West Bengal,North Twenty Four Parganas,Panihati,377347,19.38,22.68,88.37
West Bengal,North Twenty Four Parganas,Barasat,278435,34.06,22.72,88.48
West Bengal,North Twenty Four Parganas,Madhyamgram,196127,0,22.7,88.45
West Bengal,North Twenty Four Parganas,North DumDum,249142,26,22.65,88.41
West Bengal,North Twenty Four Parganas,Kamarhati,330211,10.96,22.67,88.37
West Bengal,North Twenty Four Parganas,Baranagar,245213,7.12,22.63,88.37
West Bengal,North Twenty Four Parganas,Dum Dum,114786,9.73,22.62,88.42
West Bengal,North Twenty Four Parganas,South DumDum,403316,0,22.61,88.4
West Bengal,North Twenty Four Parganas,Rajarhat Gopalpur,402844,0,22.62,88.51
West Bengal,North Twenty Four Parganas,Bidhannagar,215514,0,22.58,88.42
West Bengal,North Twenty Four Parganas,Basirhat,125254,0,22.66,88.87
West Bengal,Hugli,Bansberia,103920,9.07,22.97,88.4
West Bengal,Hugli,Hugli-Chinsurah,179931,0,22.9,88.39
West Bengal,Hugli,Chandannagar,166867,19,22.86,88.36
West Bengal,Hugli,Bhadreswar,101477,8,22.82,88.35
West Bengal,Hugli,Champdani,111251,6.59,22.8,88.33
West Bengal,Hugli,Baidyabati,121110,12.03,22.8,88.32
West Bengal,Hugli,Serampore,181842,11.6,22.75,88.33
West Bengal,Hugli,Rishra,124577,0,22.72,88.35
West Bengal,Hugli,Uttarpara Kotrung,159147,11.75,22.68,88.34
West Bengal,Bankura,Bankura,137386,19.06,23.23,87.09
West Bengal,Puruliya,Puruliya,121067,140.18,23.33,86.37
West Bengal,Haora,Bally,113377,0,22.66,88.34
West Bengal,Haora,Bally,293373,0,22.66,88.34
West Bengal,Haora,Haora,1077075,63.55,22.58,88.25
West Bengal,Haora,Uluberia,235345,0,22.47,88.12
West Bengal,Kolkata,Kolkata,4496694,205,22.57,88.36
West Bengal,South Twenty Four Parganas,Maheshtala,448317,44.18,22.51,88.25
West Bengal,South Twenty Four Parganas,Rajpur Sonarpur,424368,49.26,22.44,88.39
West Bengal,Paschim Medinipur,Medinipur,169264,0,22.43,87.32
West Bengal,Paschim Medinipur,Kharagpur,207604,127,22.35,87.23
West Bengal,Purba Medinipur,Haldia,200827,300,22.07,88.07
Jharkhand,Giridih,Giridih,114533,409,24.18,86.3
Jharkhand,Deoghar,Deoghar,203123,338,24.48,86.7
Jharkhand,Dhanbad,Dhanbad,1162472,577,23.8,86.43
Jharkhand,Bokaro,Chas (Nagar Parishad),141640,0,23.63,86.16
Jharkhand,Bokaro,Bokaro Steel City,414820,183,23.67,86.15
Jharkhand,Purbi Singhbhum,Mango,223805,0,22.81,86.2
Jharkhand,Purbi Singhbhum,Jamshedpur,677350,224,22.81,86.2
Jharkhand,Hazaribagh,Hazaribag (Nagar Parishad),142489,0,23.98,85.35
Jharkhand,Ranchi,Ranchi,1073427,652.02,23.34,85.31
Jharkhand,Saraikela-Kharsawan,Adityapur (Nagar Parishad),174355,0,0,0
Odisha,Sambalpur,Sambalpur,189366,50,21.47,83.98
