State,District,City,Population,Area (in km^2),Latitude,Longitude
Nagaland,Dimapur,-,379769,926,25.8,93.78
Nagaland,Kiphire,-,74033,1255,25.9,94.78
Nagaland,Kohima,-,270063,1041,25.67,94.12
Nagaland,Longleng,-,50593,885,26.52,94.93
Nagaland,Mokokchung,-,193171,1615,26.32,94.52
Nagaland,Mon,-,259604,1786,26.72,95.03
Nagaland,Noklak,-,59300,1152,26.22,94.98
Nagaland,Peren,-,163294,2300,25.52,93.73
Nagaland,Phek,-,163294,2026,25.67,94.47
Nagaland,Tuensang,-,414801,4228,26.23,94.82
Nagaland,Wokha,-,166239,1628,26.1,94.27
Nagaland,Zunheboto,-,141014,1255,26.02,94.52
Odisha,Angul,-,1271703,6347,20.82,85.1
Odisha,Boudh (Bauda),-,439917,4289,0,0
Odisha,Bhadrak,-,1506522,2788,21.07,86.5
Odisha,Balangir,-,1648574,6552,20.7,83.5
Odisha,Bargarh (Baragarh),-,1478833,5832,0,0
Odisha,Balasore,-,2317419,3706,21.5,86.9
Odisha,Cuttack,-,2618708,3915,20.45,85.82
Odisha,Debagarh (Deogarh),-,312164,2781,0,0
Odisha,Dhenkanal,-,1192948,4597,20.65,85.6
Odisha,Ganjam,-,3520151,8033,19.37,85.05
Odisha,Gajapati,-,575880,3056,18.88,84.2
Odisha,Jharsuguda,-,579499,2202,21.85,84
Odisha,Jajpur,-,1826275,2885,20.85,86.32
Odisha,Jagatsinghpur,-,1136604,1759,20.25,86.15
Odisha,Khordha,-,2246341,2888,20.15,85.65
Odisha,Kendujhar (Keonjhar),-,1802777,8336,0,0
Odisha,Kalahandi,-,1573054,8197,20.07,83.2
Odisha,Kandhamal,-,731952,6004,20.47,84.23
Odisha,Koraput,-,1376934,8534,18.8,82.7
Odisha,Kendrapara,-,1439891,2546,20.52,86.47
Odisha,Malkangiri,-,612727,6115,18.25,82.13
Odisha,Mayurbhanj,-,2513895,10418,21.92,86.72
Odisha,Nabarangpur,-,1218762,5135,19.23,82.55
Odisha,Nuapada,-,606490,3408,20.65,82.82
Odisha,Nayagarh,-,962215,3954,20.1,85
Odisha,Puri,-,1697983,3055,19.8,85.82
Odisha,Rayagada,-,961959,7585,19.15,83.4
Odisha,Sambalpur,-,1044410,6702,21.45,83.97
Odisha,Subarnapur (Sonepur),-,652107,2284,0,0
Odisha,Sundargarh,-,2080664,9942,22.1,84
